title,survived,age,pclass,sibsp,parch,family_size,child,sex,deck
Mrs,0,NA,2,0,1,2,Adult,Female,NA
Mr,0,NA,2,0,0,0,Adult,Male,NA
Mr,1,36,2,0,0,0,Adult,Male,R
Miss,0,35,2,0,0,0,Adult,Female,NA
Mr,1,NA,2,0,0,0,Adult,Male,NA
Mrs,0,36,2,0,0,0,Adult,Female,NA
Mr,0,35,2,0,0,0,Adult,Male,NA
Nobleman,1,0.75,2,0,1,2,Child,Male,NA
Mrs,0,30,2,0,1,2,Adult,Female,NA
Mr,0,38,2,1,2,4,Adult,Male,NA
Nobleman,0,4,2,1,2,4,Child,Male,NA
Mrs,0,25,2,1,2,4,Adult,Female,NA
Miss,0,8,2,1,2,4,Child,Female,NA
Mrs,0,NA,2,0,0,0,Adult,Female,NA
Miss,0,NA,2,0,0,0,Adult,Female,NA
Mr,0,32,2,0,0,0,Adult,Male,NA
Mrs,1,32,2,0,1,2,Adult,Female,NA
Miss,1,8,2,0,1,2,Child,Female,NA
Nobleman,1,3,2,1,1,3,Child,Male,C
Mrs,1,32,2,0,2,3,Adult,Female,C
Miss,0,1.4,2,1,1,3,Child,Female,C
Mr,0,43,2,0,0,0,Adult,Male,NA
Mr,1,43,2,0,0,0,Adult,Male,NA
Mr,0,NA,2,1,0,2,Adult,Male,NA
Mrs,1,41,2,1,0,2,Adult,Female,NA
Mr,1,33,2,1,0,2,Adult,Male,NA
Mrs,1,33,2,1,0,2,Adult,Female,NA
Miss,0,30,2,0,0,0,Adult,Female,NA
Mrs,0,62,2,0,1,2,Adult,Female,NA
Mr,0,NA,2,0,0,0,Adult,Male,NA
Nobleman,1,1.1,2,0,1,2,Child,Male,NA
Mrs,1,24,2,0,1,2,Adult,Female,NA
Mr,0,39,2,1,2,5,Adult,Male,NA
Nobleman,0,0.5,2,1,2,5,Child,Male,NA
Mrs,0,38,2,1,2,5,Adult,Female,NA
Miss,0,9,2,1,2,5,Child,Female,NA
Mr,0,34,2,0,0,0,Adult,Male,NA
Mr,0,43,2,0,0,0,Adult,Male,NA
Mrs,0,40,2,0,0,0,Adult,Female,NA
Miss,0,39,2,0,0,0,Adult,Female,NA
Mr,0,46,2,0,0,0,Adult,Male,NA
Miss,0,NA,2,0,0,0,Adult,Female,NA
Mr,0,31,2,1,0,2,Adult,Male,NA
Mr,0,NA,2,0,0,0,Adult,Male,NA
Miss,1,31,2,0,0,0,Adult,Female,NA
Mrs,1,33,2,1,0,2,Adult,Female,NA
Miss,0,NA,2,0,0,0,Adult,Female,NA
Mr,0,33,2,1,0,2,Adult,Male,NA
Mrs,1,30,2,1,0,2,Adult,Female,NA
Miss,0,19,2,0,0,0,Adult,Female,NA
Mr,0,41,2,1,0,2,Adult,Male,C
Mrs,0,40,2,1,0,2,Adult,Female,C
Mr,0,NA,2,0,0,0,Adult,Male,NA
Mrs,0,NA,2,0,0,0,Adult,Female,NA
Mr,1,36,2,1,0,2,Adult,Male,NA
Mrs,0,30,2,1,0,2,Adult,Female,NA
Mr,0,22,2,1,1,3,Adult,Male,NA
Mrs,0,21,2,1,1,3,Adult,Female,NA
Miss,0,0.5,2,0,2,3,Child,Female,NA
Miss,0,NA,2,0,0,0,Adult,Female,NA
Miss,0,NA,2,0,0,0,Adult,Female,NA
Nobleman,0,0.5,2,0,1,2,Child,Male,NA
Mrs,0,31,2,0,1,2,Adult,Female,NA
Mrs,0,NA,2,0,0,0,Adult,Female,NA
Miss,0,44,2,0,0,0,Adult,Female,NA
Mr,0,NA,2,1,0,2,Adult,Male,NA
Mrs,0,NA,2,1,0,2,Adult,Female,NA
Mr,1,31,2,0,0,0,Adult,Male,NA
Mr,0,47,2,1,0,2,Adult,Male,NA
Mrs,0,51,2,1,0,2,Adult,Female,NA
Miss,1,22,2,0,0,0,Adult,Female,NA
Mr,1,38,2,0,0,0,Adult,Male,NA
Mrs,0,28,2,0,0,0,Adult,Female,NA
Miss,0,NA,2,0,0,0,Adult,Female,NA
Mr,1,32,2,1,0,2,Adult,Male,NA
Nobleman,1,1.6,2,1,0,2,Child,Male,NA
Mrs,1,27,2,1,0,2,Adult,Female,NA
Mr,1,31,2,1,1,3,Adult,Male,NA
Nobleman,0,1.1,2,0,2,3,Child,Male,NA
Mrs,0,NA,2,1,1,3,Adult,Female,NA
Miss,0,36,2,0,0,2,Adult,Female,NA
Miss,0,NA,2,0,0,2,Adult,Female,NA
Mr,1,37,2,1,0,2,Adult,Male,NA
Mrs,1,34,2,1,0,2,Adult,Female,NA
Mr,0,31,2,0,0,2,Adult,Male,NA
Mr,1,32,2,0,0,0,Adult,Male,NA
Mr,0,43,2,0,0,7,Adult,Male,NA
Mrs,0,52,2,0,0,0,Adult,Female,NA
Mr,0,NA,2,0,0,0,Adult,Male,NA
Mr,0,NA,2,0,0,0,Adult,Male,NA
Mrs,0,40,2,0,0,0,Adult,Female,NA
Mr,0,NA,2,1,1,3,Adult,Male,NA
Nobleman,0,6,2,0,2,3,Child,Male,NA
Mrs,1,NA,2,1,1,3,Adult,Female,NA
Nobleman,1,0.6,2,0,1,2,Child,Male,NA
Mrs,1,29,2,0,2,3,Adult,Female,NA
Miss,1,NA,2,0,0,0,Adult,Female,NA
Miss,1,12,2,0,0,3,Child,Female,D
Miss,0,35,2,0,0,0,Adult,Female,NA
Mr,1,26,2,0,0,2,Adult,Male,R
Mr,1,NA,2,0,0,0,Adult,Male,NA
Mrs,1,NA,2,0,0,0,Adult,Female,NA
Mr,1,47,2,0,0,0,Adult,Male,NA
Mr,1,19,2,0,0,0,Adult,Male,NA
Mr,1,21,2,0,0,0,Adult,Male,R
Mr,0,30,2,1,0,2,Adult,Male,NA
Mrs,1,25,2,1,0,2,Adult,Female,NA
Mr,0,45,2,0,0,0,Adult,Male,NA
Mr,1,NA,2,0,0,0,Adult,Male,NA
Miss,0,NA,2,0,0,3,Adult,Female,NA
Mr,1,36,2,0,0,0,Adult,Male,NA
Miss,0,19,2,0,0,0,Adult,Female,NA
Miss,0,33,2,0,0,0,Adult,Female,NA
Mr,0,49,2,0,0,0,Adult,Male,NA
Mr,0,33,2,1,1,3,Adult,Male,NA
Mrs,1,21,2,1,1,3,Adult,Female,NA
Miss,0,1.1,2,0,2,3,Child,Female,NA
Mrs,0,29,2,0,0,0,Adult,Female,NA
Mrs,1,NA,2,1,2,4,Adult,Female,NA
Miss,1,8,2,1,1,4,Child,Female,NA
Miss,1,10,2,1,1,4,Child,Female,NA
Miss,0,0.45,2,1,1,4,Child,Female,NA
Mr,0,51,2,0,0,0,Adult,Male,NA
Dr,1,27,2,0,0,0,Adult,Male,NA
Mr,0,30,2,1,0,2,Adult,Male,NA
Mrs,0,28,2,0,0,2,Adult,Female,NA
Mrs,1,30,2,0,0,2,Adult,Female,NA
Mr,1,37,2,0,0,2,Adult,Male,NA
Miss,1,24,2,0,0,0,Adult,Female,C
Mr,0,28,2,0,0,0,Adult,Male,NA
Mr,1,42,2,0,0,0,Adult,Male,NA
Mr,0,59,2,0,0,0,Adult,Male,NA
Mrs,1,65,2,0,0,0,Adult,Female,NA
Mr,1,39,2,0,0,0,Adult,Male,NA
Miss,1,22,2,0,1,2,Adult,Female,C
Mr,0,NA,2,1,2,4,Adult,Male,NA
Nobleman,1,11,2,1,2,4,Child,Male,R
Nobleman,1,16,2,1,2,4,Child,Male,R
Mrs,0,NA,2,1,2,4,Adult,Female,NA
Mr,0,51,2,0,0,0,Adult,Male,NA
Mr,0,NA,2,0,0,0,Adult,Male,NA
Miss,1,NA,2,0,0,0,Adult,Female,NA
Mrs,0,38,2,0,0,0,Adult,Female,NA
Mr,0,60,2,0,0,0,Adult,Male,NA
Mr,1,43,2,0,0,0,Adult,Male,NA
Mr,0,NA,2,0,0,0,Adult,Male,NA
Mrs,0,26,2,0,1,2,Adult,Female,NA
Miss,0,3,2,0,1,2,Child,Female,NA
Mr,1,59,2,0,2,3,Adult,Male,NA
Mr,1,35,2,0,0,0,Adult,Male,C
Nobleman,0,4,2,0,2,3,Child,Male,NA
Mrs,0,24,2,0,2,3,Adult,Female,NA
Nobleman,0,11,2,0,0,2,Child,Male,NA
Mr,1,32,2,0,0,0,Adult,Male,NA
Mr,0,18,2,0,0,0,Adult,Male,NA
Mr,0,28,2,1,1,3,Adult,Male,NA
Nobleman,0,1.5,2,0,2,3,Child,Male,NA
Mrs,0,27,2,1,1,3,Adult,Female,NA
Rev,1,32,2,1,0,2,Adult,Male,NA
Mrs,1,26,2,1,0,2,Adult,Female,NA
Mr,0,38,2,0,0,0,Adult,Male,NA
Mr,1,36,2,0,0,0,Adult,Male,NA
Mrs,0,NA,2,0,0,0,Adult,Female,NA
Miss,1,36,2,1,0,2,Adult,Female,E
Mr,1,32,2,0,0,0,Adult,Male,C
Mr,0,51,2,1,0,2,Adult,Male,NA
Mrs,0,59,2,1,0,2,Adult,Female,NA
Miss,1,25,2,0,0,0,Adult,Female,NA
Miss,0,27,2,0,0,0,Adult,Female,NA
Mr,0,63 (51?),2,1,0,2,Adult,Male,NA
Mrs,0,61,2,1,0,2,Adult,Female,NA
Mr,0,48,2,0,0,0,Adult,Male,NA
Mr,0,37,2,0,0,0,Adult,Male,NA
Mrs,0,40,2,0,0,0,Adult,Female,NA
Nobleman,1,10,2,0,1,2,Child,Male,NA
Mrs,1,32,2,0,1,2,Adult,Female,NA
Mr,0,NA,2,0,0,0,Adult,Male,NA
Mr,0,35,2,1,0,2,Adult,Male,NA
Mrs,0,27,2,1,0,2,Adult,Female,NA
Mrs,1,27,2,0,1,2,Adult,Female,NA
Miss,0,0.45,2,0,1,2,Child,Female,NA
Mrs,0,26,2,0,0,0,Adult,Female,NA
Mr,1,32,2,0,0,0,Adult,Male,NA
Miss,0,NA,2,0,0,0,Adult,Female,R
Mrs,1,32,2,0,0,0,Adult,Female,NA
Mr,1,29,2,0,0,7,Adult,Male,NA
Mrs,1,28,2,0,0,0,Adult,Female,NA
Dr,1,43,2,0,0,0,Adult,Male,C
Mrs,1,34,2,0,0,0,Adult,Female,NA
Mr,0,30,2,0,0,0,Adult,Male,NA
Mr,0,25,2,0,0,0,Adult,Male,NA
Miss,0,33,2,0,0,2,Adult,Female,NA
Miss,0,35,2,0,0,2,Adult,Female,NA
Miss,0,21,2,0,0,0,Adult,Female,NA
Mrs,0,51,2,0,0,0,Adult,Female,NA
Mr,1,NA,2,0,0,0,Adult,Male,NA
Mr,1,28,2,0,0,0,Adult,Male,NA
Mr,0,24,2,0,0,0,Adult,Male,NA
Mrs,1,33,2,0,0,0,Adult,Female,NA
